column,non_null_count,missing_count,dtype
CUST_ID,8950,0,object
BALANCE,8950,0,float64
BALANCE_FREQUENCY,8950,0,float64
PURCHASES,8950,0,float64
ONE_OFF_PURCHASES,8950,0,float64
INSTALLMENTS_PURCHASES,8950,0,float64
CASH_ADVANCE,8950,0,float64
PURCHASES_FREQUENCY,8950,0,float64
ONE_OFF_PURCHASES_FREQUENCY,8950,0,float64
PURCHASES_INSTALLMENTS_FREQUENCY,8950,0,float64
CASH_ADVANCE_FREQUENCY,8950,0,float64
CASH_ADVANCE_TRX,8950,0,int64
PURCHASES_TRX,8950,0,int64
CREDIT_LIMIT,8949,1,float64
PAYMENTS,8950,0,float64
MINIMUM_PAYMENTS,8637,313,float64
PRC_FULL_PAYMENT,8950,0,float64
TENURE,8950,0,int64
